"ACCOUNTNUMBER","POLICYNUMBER","PRODUCERCODE","COMPANY","POLICYEFFECTIVEDATE","POLICYEXPIRYDATE","TERMNUMBER","LOCATIONPROVINCE","BUILDINGNUM","RISKTYPE","EVALUATIONSOURCE","REPLACEMENTCOST_CG","JOBTYPE"
"3388260130","1057849179","12002","CGIC","20141121","20151121",2,"AB",4,"Farm Structure","Other",2400,"Renewal"
"5113168050","1054668050","45051","CGIC","20141124","20151124",2,"NS",1,"Farm Structure","None",4800,"Policy Change"
"6757657154","1058768180","92136","CGIC","20141128","20151128",2,"SK",1,"Farm Structure","None",2800,"Renewal"
"5038366642","1057941228","90816","CGIC","20141208","20151208",2,"SK",3,"Farm Structure","Other",8000,"Policy Change"
"6660850402","1057919816","92069","CGIC","20141214","20151214",2,"SK",1,"Farm Structure","None",5500,"Renewal"
"7831124789","1053552925","92069","CGIC","20141215","20151215",2,"SK",7,"Farm Structure","None",6900,"Policy Change"
"7831124789","1053552925","92069","CGIC","20141215","20151215",2,"SK",2,"Farm Structure","Other",8400,"Policy Change"
"7831124789","1053552925","92069","CGIC","20141215","20151215",2,"SK",3,"Farm Structure","None",6500,"Policy Change"
"3994217760","1058640910","93014","CGIC","20150102","20160102",3,"SK",6,"Farm Structure","None",9000,"Policy Change"
"3994217760","1058640910","93014","CGIC","20150102","20160102",3,"SK",7,"Farm Structure","None",5400,"Policy Change"
"3994217760","1058640910","93014","CGIC","20150102","20160102",3,"SK",1,"Farm Structure","None",6800,"Policy Change"
"3036487201","1058793280","91234","CGIC","20150110","20160110",2,"SK",1,"Farm Structure","None",6900,"Policy Change"
"3013513659","1053496989","11166","CGIC","20150117","20160119",3,"AB",6,"Farm Structure","Other",8500,"Policy Change"
"7190353286","1057825730","12136","CGIC","20150302","20160302",2,"AB",2,"Farm Structure","None",7200,"Policy Change"
"1264655383","1058816675","91377","CGIC","20150318","20160318",2,"SK",3,"Farm Structure","None",5500,"Policy Change"
"0011811740","1052771027","11004","CGIC","20150320","20160320",2,"AB",2,"Farm Structure","None",2100,"Renewal"
"0011811740","1052771027","11004","CGIC","20150320","20160320",2,"AB",3,"Farm Structure","None",7500,"Renewal"
"5470726505","1053333961","92713","CGIC","20150401","20160401",2,"SK",3,"Farm Structure","None",1200,"Renewal"
"5470726505","1053333961","92713","CGIC","20150401","20160401",2,"SK",4,"Farm Structure","None",1200,"Renewal"
"3858074277","1058812494","92008","CGIC","20150404","20160404",2,"SK",2,"Farm Structure","None",6500,"Policy Change"
"5676130828","1051685175","45835","CGIC","20150519","20160519",2,"NS",1,"Farm Structure","None",6200,"Renewal"
"3990444589","1055016590","72479","CGIC","20150629","20160629",3,"ON",2,"Farm Structure","Other",5000,"Policy Change"
"2941161668","1058760102","91501","CGIC","20150728","20160728",4,"SK",2,"Farm Structure","None",5400,"Policy Change"
"2941161668","1058760102","91501","CGIC","20150728","20160728",4,"SK",1,"Farm Structure","None",5400,"Policy Change"
"5171676310","4000207013","72599","CGIC","20150731","20160731",2,"ON",1,"Farm Structure","ProfApp",4000,"Policy Change"
"6014785202","1058787390","93109","CGIC","20150917","20160917",3,"SK",3,"Farm Structure","None",5500,"Policy Change"
"9588931677","1053495417","92020","CGIC","20151102","20161102",3,"SK",2,"Farm Structure","None",6900,"Policy Change"
"2071936558","1058782447","92137","CGIC","20151205","20161205",4,"SK",2,"Farm Structure","None",4800,"Policy Change"
"2071936558","1058782447","92137","CGIC","20151205","20161205",4,"SK",1,"Farm Structure","None",1300,"Policy Change"
"2071936558","1058782447","92137","CGIC","20151205","20161205",4,"SK",4,"Farm Structure","None",6800,"Policy Change"
"2430707338","1053333568","12103","CGIC","20160114","20170114",3,"AB",2,"Farm Structure","None",7200,"Renewal"
"1431501496","1058715282","71076","CGIC","20160128","20170128",3,"ON",1,"Farm Structure","None",7500,"Renewal"
"4657519042","1057985206","31213","CGIC","20160131","20170131",3,"MB",14,"Farm Structure","Other",4500,"Policy Change"
"4657519042","1057985206","31213","CGIC","20160131","20170131",3,"MB",12,"Farm Structure","Other",4500,"Policy Change"
"3596837642","1057933378","31011","CGIC","20160222","20170222",3,"MB",4,"Farm Structure","None",1300,"Policy Change"
"3596837642","1057933378","31011","CGIC","20160222","20170222",3,"MB",2,"Farm Structure","None",8400,"Policy Change"
